{'ImageID': 7, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 370, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 376, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 379, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 393, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 406, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 415, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 419, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 425, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 434, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 435, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 444, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 451, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 452, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 481, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 482, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 490, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 492, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 494, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 504, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 514, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 518, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 526, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 533, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 540, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 541, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 543, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 572, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 577, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 578, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 585, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 592, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 620, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 634, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 639, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 643, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 661, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 663, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 670, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 673, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 685, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 689, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 691, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 702, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 703, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 704, 'DetectedSigns': 0, 'Labels': []}
{'ImageID': 711, 'DetectedSigns': 0, 'Labels': []}
